start,end,college,name,elected,vote_support,vote_object,vote_invalid,college_population,college_population_total,college_population_rate,college_vote_population,college_vote_rate,college_support_vote,college_support_rate,competitive,college_vote_invalid,college_english,college_english_ab
104-1,104-2,醫學院,曾旭華,1,193,39,144,3263,29467,0.11073404147011912,376,0.11523138216365308,1154,0.16724436741767765,0,0,Medicine,Med
104-1,104-2,醫學院,李長澤,1,165,55,156,3263,29467,0.11073404147011912,376,0.11523138216365308,1154,0.14298093587521662,0,0,Medicine,Med
104-1,104-2,醫學院,何承翰,1,178,47,151,3263,29467,0.11073404147011912,376,0.11523138216365308,1154,0.15424610051993068,0,0,Medicine,Med
104-1,104-2,醫學院,蔡炫錡,1,160,51,165,3263,29467,0.11073404147011912,376,0.11523138216365308,1154,0.1386481802426343,0,0,Medicine,Med
104-1,104-2,醫學院,吳佳玲,1,183,19,174,3263,29467,0.11073404147011912,376,0.11523138216365308,1154,0.158578856152513,0,0,Medicine,Med
104-1,104-2,工學院,賴櫻芳,1,34,9,103,4651,29467,0.1578375810228391,146,0.0313910986884541,239,0.14225941422594143,0,0,Engineering,Engr
104-1,104-2,工學院,高章琛,1,52,11,83,4651,29467,0.1578375810228391,146,0.0313910986884541,239,0.2175732217573222,0,0,Engineering,Engr
104-1,104-2,工學院,陳伯瑋,1,37,8,101,4651,29467,0.1578375810228391,146,0.0313910986884541,239,0.15481171548117154,0,0,Engineering,Engr
104-1,104-2,工學院,駱建澄,1,35,8,103,4651,29467,0.1578375810228391,146,0.0313910986884541,239,0.14644351464435146,0,0,Engineering,Engr
104-1,104-2,工學院,周維理,1,43,8,95,4651,29467,0.1578375810228391,146,0.0313910986884541,239,0.1799163179916318,0,0,Engineering,Engr
104-1,104-2,工學院,曾郁翔,1,38,6,102,4651,29467,0.1578375810228391,146,0.0313910986884541,239,0.1589958158995816,0,0,Engineering,Engr
104-1,104-2,生農學院,侯瑞瑜,1,52,18,135,3677,29467,0.12478365629348084,205,0.055751971716072886,290,0.1793103448275862,0,0,Bio-Resources & Agriculture,Bio & Agri
104-1,104-2,生農學院,張家豪,1,82,13,110,3677,29467,0.12478365629348084,205,0.055751971716072886,290,0.2827586206896552,0,0,Bio-Resources & Agriculture,Bio & Agri
104-1,104-2,生農學院,王紀翔,1,86,13,106,3677,29467,0.12478365629348084,205,0.055751971716072886,290,0.296551724137931,0,0,Bio-Resources & Agriculture,Bio & Agri
104-1,104-2,生農學院,戴劭芸,1,70,25,110,3677,29467,0.12478365629348084,205,0.055751971716072886,290,0.2413793103448276,0,0,Bio-Resources & Agriculture,Bio & Agri
104-1,104-2,管理學院,林佳諭,1,26,NA,NA,3616,29467,0.12271354396443479,206,0.056969026548672565,197,0.1319796954314721,0,9,Management,Mgmt
104-1,104-2,管理學院,胡則斌,1,68,NA,NA,3616,29467,0.12271354396443479,206,0.056969026548672565,197,0.34517766497461927,0,9,Management,Mgmt
104-1,104-2,管理學院,林奕恬,1,29,NA,NA,3616,29467,0.12271354396443479,206,0.056969026548672565,197,0.14720812182741116,0,9,Management,Mgmt
104-1,104-2,管理學院,林子期,1,12,NA,NA,3616,29467,0.12271354396443479,206,0.056969026548672565,197,0.06091370558375635,0,9,Management,Mgmt
104-1,104-2,管理學院,虞翔皓,1,15,NA,NA,3616,29467,0.12271354396443479,206,0.056969026548672565,197,0.07614213197969544,0,9,Management,Mgmt
104-1,104-2,管理學院,方士瑋,1,36,NA,NA,3616,29467,0.12271354396443479,206,0.056969026548672565,197,0.18274111675126903,0,9,Management,Mgmt
104-1,104-2,管理學院,潘儒鋒,NA,11,NA,NA,3616,29467,0.12271354396443479,206,0.056969026548672565,197,0.05583756345177665,0,9,Management,Mgmt
104-1,104-2,公衛學院,曾皓楷,1,64,2,6,666,29467,0.022601554281060168,72,0.10810810810810811,64,1,0,0,Public Health,PH
104-1,104-2,電資學院,高紹芳,1,112,10,76,3441,29467,0.11677469711881087,201,0.05841325196163906,348,0.3218390804597701,0,0,Electrical Engineering & Computer Science,EE & CS
104-1,104-2,電資學院,邱柏元,1,85,3,107,3441,29467,0.11677469711881087,201,0.05841325196163906,348,0.2442528735632184,0,0,Electrical Engineering & Computer Science,EE & CS
104-1,104-2,電資學院,楊正彥,1,151,7,45,3441,29467,0.11677469711881087,201,0.05841325196163906,348,0.4339080459770115,0,0,Electrical Engineering & Computer Science,EE & CS
104-1,104-2,法學院,張晴雰,1,46,NA,NA,1489,29467,0.050531102589337226,155,0.10409670920080591,146,0.3150684931506849,1,9,Law,Law
104-1,104-2,法學院,謝宗穎,NA,22,NA,NA,1489,29467,0.050531102589337226,155,0.10409670920080591,146,0.1506849315068493,1,9,Law,Law
104-1,104-2,法學院,黃若翔,NA,11,NA,NA,1489,29467,0.050531102589337226,155,0.10409670920080591,146,0.07534246575342465,1,9,Law,Law
104-1,104-2,法學院,許澤永,1,33,NA,NA,1489,29467,0.050531102589337226,155,0.10409670920080591,146,0.22602739726027396,1,9,Law,Law
104-1,104-2,法學院,周易,1,34,NA,NA,1489,29467,0.050531102589337226,155,0.10409670920080591,146,0.2328767123287671,1,9,Law,Law
104-2,105-1,文學院,吳音妮,1,6,NA,NA,3054,30521,0.1000622522197831,121,0.03962017026850033,118,0.05084745762711865,1,3,Liberal Arts,LA
104-2,105-1,文學院,劉昱辰,1,23,NA,NA,3054,30521,0.1000622522197831,121,0.03962017026850033,118,0.19491525423728814,1,3,Liberal Arts,LA
104-2,105-1,文學院,高慕曦,1,27,NA,NA,3054,30521,0.1000622522197831,121,0.03962017026850033,118,0.2288135593220339,1,3,Liberal Arts,LA
104-2,105-1,文學院,張耿維,NA,4,NA,NA,3054,30521,0.1000622522197831,121,0.03962017026850033,118,0.03389830508474576,1,3,Liberal Arts,LA
104-2,105-1,文學院,周允梵,1,31,NA,NA,3054,30521,0.1000622522197831,121,0.03962017026850033,118,0.2627118644067797,1,3,Liberal Arts,LA
104-2,105-1,文學院,陳俊臣,1,15,NA,NA,3054,30521,0.1000622522197831,121,0.03962017026850033,118,0.1271186440677966,1,3,Liberal Arts,LA
104-2,105-1,文學院,吳政融,1,12,NA,NA,3054,30521,0.1000622522197831,121,0.03962017026850033,118,0.1016949152542373,1,3,Liberal Arts,LA
104-2,105-1,理學院,顧文傑,1,25,11,14,2975,30521,0.0974738704498542,71,0.023865546218487396,103,0.24271844660194175,0,0,Science,Sci
104-2,105-1,理學院,張禎晏,1,28,8,18,2975,30521,0.0974738704498542,71,0.023865546218487396,103,0.27184466019417475,0,0,Science,Sci
104-2,105-1,理學院,陳育宏,1,50,2,10,2975,30521,0.0974738704498542,71,0.023865546218487396,103,0.4854368932038835,0,0,Science,Sci
104-2,105-1,社科院,張育銓,NA,7,NA,NA,2911,30521,0.09537695357294977,292,0.10030917210580556,288,0.024305555555555556,1,4,Social Sciences,Soc Sci
104-2,105-1,社科院,李政軒,1,49,NA,NA,2911,30521,0.09537695357294977,292,0.10030917210580556,288,0.1701388888888889,1,4,Social Sciences,Soc Sci
104-2,105-1,社科院,邱業康,NA,9,NA,NA,2911,30521,0.09537695357294977,292,0.10030917210580556,288,0.03125,1,4,Social Sciences,Soc Sci
104-2,105-1,社科院,徐連毅,1,33,NA,NA,2911,30521,0.09537695357294977,292,0.10030917210580556,288,0.11458333333333333,1,4,Social Sciences,Soc Sci
104-2,105-1,社科院,廖俊翔,NA,5,NA,NA,2911,30521,0.09537695357294977,292,0.10030917210580556,288,0.017361111111111112,1,4,Social Sciences,Soc Sci
104-2,105-1,社科院,趙振辰,1,23,NA,NA,2911,30521,0.09537695357294977,292,0.10030917210580556,288,0.0798611111111111,1,4,Social Sciences,Soc Sci
104-2,105-1,社科院,羅京,1,57,NA,NA,2911,30521,0.09537695357294977,292,0.10030917210580556,288,0.19791666666666666,1,4,Social Sciences,Soc Sci
104-2,105-1,社科院,林冠亨,1,81,NA,NA,2911,30521,0.09537695357294977,292,0.10030917210580556,288,0.28125,1,4,Social Sciences,Soc Sci
104-2,105-1,社科院,曾靖容,1,17,NA,NA,2911,30521,0.09537695357294977,292,0.10030917210580556,288,0.059027777777777776,1,4,Social Sciences,Soc Sci
104-2,105-1,社科院,周育宏,NA,7,NA,NA,2911,30521,0.09537695357294977,292,0.10030917210580556,288,0.024305555555555556,1,4,Social Sciences,Soc Sci
104-2,105-1,醫學院,洪敦昱,1,55,8,7,2977,30521,0.09753939910225747,70,0.0235136042996305,55,1,0,0,Medicine,Med
104-2,105-1,工學院,張聿棨,1,26,3,15,4815,30521,0.15776023066085645,61,0.012668743509865006,90,0.28888888888888886,0,0,Engineering,Engr
104-2,105-1,工學院,劉相涵,1,19,6,11,4815,30521,0.15776023066085645,61,0.012668743509865006,90,0.2111111111111111,0,0,Engineering,Engr
104-2,105-1,工學院,林後維,1,17,5,18,4815,30521,0.15776023066085645,61,0.012668743509865006,90,0.18888888888888888,0,0,Engineering,Engr
104-2,105-1,工學院,薛沛宜,1,28,4,9,4815,30521,0.15776023066085645,61,0.012668743509865006,90,0.3111111111111111,0,0,Engineering,Engr
104-2,105-1,生農學院,劉昱佑,1,29,13,15,3753,30521,0.12296451623472364,63,0.016786570743405275,55,0.5272727272727272,0,0,Bio-Resources & Agriculture,Bio & Agri
104-2,105-1,生農學院,廖廷軒,1,26,15,11,3753,30521,0.12296451623472364,63,0.016786570743405275,55,0.4727272727272727,0,0,Bio-Resources & Agriculture,Bio & Agri
104-2,105-1,管理學院,潘儒鋒,NA,20,21,14,3093,30521,0.10134006094164673,93,0.030067895247332686,170,0.11764705882352941,0,0,Management,Mgmt
104-2,105-1,管理學院,彭子淇,1,28,8,23,3093,30521,0.10134006094164673,93,0.030067895247332686,170,0.16470588235294117,0,0,Management,Mgmt
104-2,105-1,管理學院,何智凡,1,48,5,15,3093,30521,0.10134006094164673,93,0.030067895247332686,170,0.2823529411764706,0,0,Management,Mgmt
104-2,105-1,管理學院,陳彥霖,1,31,5,21,3093,30521,0.10134006094164673,93,0.030067895247332686,170,0.18235294117647058,0,0,Management,Mgmt
104-2,105-1,管理學院,吳侑霖,1,30,10,16,3093,30521,0.10134006094164673,93,0.030067895247332686,170,0.17647058823529413,0,0,Management,Mgmt
104-2,105-1,管理學院,郭昊天,1,13,9,25,3093,30521,0.10134006094164673,93,0.030067895247332686,170,0.07647058823529412,0,0,Management,Mgmt
104-2,105-1,公衛學院,張紘綸,1,8,2,2,675,30521,0.02211592018610137,12,0.017777777777777778,8,1,0,0,Public Health,PH
104-2,105-1,電資學院,黃維家,1,15,10,16,3590,30521,0.11762393106385767,57,0.015877437325905294,108,0.1388888888888889,0,0,Electrical Engineering & Computer Science,EE & CS
